500 1259
0 499
55 212 6972
357 488 6619
372 388 4161
300 16 8800
130 21 3982
28 383 1590
136 60 2542
268 171 7475
311 414 -12779
498 58 6678
224 272 1411
320 230 4299
257 47 8653
25 219 9194
402 331 6083
87 421 9608
126 114 676
185 484 -6986
423 224 6481
70 340 9995
237 11 2914
353 255 -425
453 182 3175
135 83 107
461 355 212
181 482 221
58 199 6772
494 382 3558
225 24 -47083
497 139 3683
165 453 6360
90 15 4677
424 60 9620
459 484 1915
35 186 7326
494 474 4175
354 131 3123
113 460 2076
342 454 3461
240 6 -44027
18 107 2790
275 389 8553
363 325 1873
108 175 4663
473 100 6175
146 164 8206
64 16 6094
1 113 5662
50 152 1884
32 269 -68953
139 97 7009
178 148 4472
321 374 3329
321 59 2995
391 138 3988
400 273 7843
476 139 4946
222 451 8315
167 450 9944
120 493 1184
444 467 9773
439 120 5900
281 154 1970
456 439 1418
329 104 3086
475 388 3107
201 276 145
424 236 4929
212 255 5061
41 204 6854
403 344 8484
165 413 5587
338 354 3417
388 62 7739
423 6 3762
133 317 998
349 170 8880
7 237 8509
84 73 1708
74 135 7637
185 151 3818
44 77 7610
12 77 2921
341 206 702
158 391 8509
462 280 -42248
409 225 5639
394 364 5179
394 489 7053
466 167 5230
439 478 6973
39 43 6990
184 491 2483
292 61 4129
384 294 8649
5 490 3466
365 322 2463
52 159 1793
428 445 3031
406 230 1754
80 474 3706
179 30 234
302 151 5424
389 394 1988
498 151 9989
5 458 125
428 473 6241
71 170 8972
256 274 9741
483 194 594
119 344 494
454 21 6244
274 354 723
309 124 4712
9 50 4301
183 232 7246
162 235 8697
1 331 3565
313 351 1220
408 282 7429
83 452 4948
458 67 2644
216 71 9906
112 459 -29756
255 54 -69619
290 148 3615
241 345 -67440
385 207 5959
145 65 6456
409 447 31
443 448 5747
293 409 2277
289 261 8768
351 254 1253
485 141 6978
337 210 4132
106 439 9320
53 302 7291
101 237 1724
327 253 1677
367 346 2750
20 133 4876
442 368 2809
123 156 2417
246 251 8286
399 427 2730
249 438 4266
465 220 1994
70 231 2756
210 248 8755
221 336 269
346 31 4457
320 459 1100
72 178 6436
70 287 4043
78 376 908
193 90 9354
499 90 6115
37 34 700
286 242 7617
226 63 5390
66 177 1127
79 310 2096
442 240 8345
173 285 5087
351 325 3285
213 388 1427
312 407 5894
80 78 4496
124 209 2327
255 264 8190
207 451 7686
167 191 9184
121 353 3418
312 335 5605
417 474 4726
324 308 5266
49 387 1084
85 197 6757
25 110 -62388
248 489 1463
69 46 -32312
379 95 6888
396 168 9923
27 71 1497
159 285 4664
407 88 4935
90 75 1542
80 103 4824
460 214 1845
435 185 5480
181 422 6599
451 195 7825
253 161 6709
53 330 1283
435 183 3573
414 116 1908
373 64 5533
163 350 6515
172 174 9591
78 372 4792
56 65 6733
397 383 528
85 232 832
328 53 2690
226 231 8390
195 119 2351
119 89 4233
76 89 4931
364 376 7952
308 420 8101
297 268 1785
121 67 8791
338 34 884
380 431 4081
